latitude_deg,longitude_deg
40.07080078,-74.93360138
59.94919968,-151.6959991
34.8647995,-86.77030182
35.6086998,-91.25489807
34.9428028,-97.8180194
34.30559921,-112.1650009
35.3504982,-116.8880005
40.62220001,-104.3440018
28.64550018,-82.21900177
28.84659958,-82.34539795
27.23089981,-80.96920013
33.76750183,-84.06829834
33.88420105,-84.73390198
19.83250046,-155.9819946
48.14530182,-116.2139969
41.64450073,-87.12280273
41.97840118,-89.56040192
41.51139832,-87.26059723
40.02560043,-89.12290192
38.72779846,-94.93049622
37.40940094,-84.61969757
30.191944,-90.980833
39.66529846,-89.70559692
30.13629913,-92.42939758
38.75709915,-75.75379944
43.94940186,-86.41670227
46.29999924,-95.70030212
37.20280075,-94.41239929
48.53749847,-109.7050018
39.47320175,-75.18520355
36.08520126,-78.37139893
40.52090073,-74.47460175
44.8118612,-73.3698057
42.90010071,-77.49970245
41.59090042,-84.14219666
39.74530029,-84.18740082
44.93289948,-123.1299973
39.94889832,-75.74690247
41.2995,-80.211111
40.3778,-77.365303
44.18320084,-122.0889969
34.00939941,-80.26719666
32.82690048,-97.30580139
32.84759903,-97.1894989
35.51589966,-85.95359802
32.60760117,-97.24199677
29.73769951,-94.98020172
37.24779892,-112.8219986
36.57600021,-78.9991684
36.66329956,-80.49949646
46.67350006,-117.4430008
47.17839813,-122.7720032
44.3042984,-89.05010223
46.25,-117.2490005
38.82889938,-79.8660965
33.03340149,-101.9339981
62.9435997,-152.2700043
60.10587398,-149.446249
32.94599915,-86.51390076
34.04729843,-94.35489655
34.60810089,-111.8649979
43.34170151,-85.77500153
34.36824059,-117.3700587
38.79990005,-120.7340012
34.03779984,-118.1539993
39.24530029,-106.2460022
41.62730026,-72.72750092
28.58939934,-81.14420319
28.66640091,-81.37059784
28.78190041,-81.15920258
32.47930145,-84.97910309
32.67440033,-82.77110291
41.66109848,-90.74130249
42.60820007,-112.0319977
39.88499832,-86.50669861
40.45859909,-87.65950012
40.13090134,-85.69580078
39.01620102,-90.31819916
30.68630028,-81.90570068
37.03609848,-97.58640289
38.54059982,-97.00330353
37.05170059,-88.64689636
32.63899994,-91.7736969
38.12580109,-89.46389771
30.70599937,-91.07740021
42.62509918,-71.18009949
38.999199,-76.456001
46.77890015,-68.50029755
43.04949951,-83.67970276
47.89960098,-92.55740356
38.64170074,-90.48429871
48.78910065,-114.8799973
34.47529984,-77.58139801
40.84360123,-100.6529999
43.64450073,-72.08699799
40.7417984,-74.13710022
33.008611,-104.540278
38.76390076,-119.0270004
41.70009995,-73.94960022
40.73059845,-82.8015976
35.29449844,-98.6364975
43.11930084,-121.0449982
40.6556015,-80.05090332
40.93059921,-77.73889923
41.59590149,-76.02960205
35.03210068,-81.25279999
32.69419861,-97.11579895
32.73759842,-96.4280014
34.9958992,-89.73059845
32.72850037,-97.32450104
32.38759995,-96.87750244
38.85160065,-115.6340027
38.30830002,-109.3960037
39.125,-77.92500305
46.66320038,-123.8119965
